id,imei,bat,uCHA,uCHB,lCHA,lCHB,uT,lT,smtVWC,smtT,date_created_utc
S5,869951035739915,4054,1023,572,654,494,14.125,14.5625,94,156,"2022-10-20  00:08:23"
S5,869951035739915,4005,1023,570,934,609,14.125,14.5625,94,156,"2022-10-20  00:09:52"
S5,869951035739915,4033,1023,557,1015,473,14.1875,14.625,94,157,"2022-10-20  00:15:48"
S5,869951035739915,4031,1023,558,1021,472,14.3125,14.875,94,157,"2022-10-20  00:21:47"
S5,869951035739915,4035,1023,557,1002,463,14.375,15,94,157,"2022-10-20  00:27:58"
S5,869951035739915,3985,1023,559,1012,482,14.5,15.1875,94,158,"2022-10-20  00:33:43"
S5,869951035739915,3975,1023,559,995,446,14.625,15.375,94,159,"2022-10-20  00:39:39"
S5,869951035739915,4019,1023,560,965,440,14.75,15.5,94,159,"2022-10-20  00:45:24"
S5,869951035739915,4018,1023,623,646,330,14.875,15.6875,94,160,"2022-10-20  00:51:20"
S5,869951035739915,4027,1023,587,784,366,15,15.9375,94,161,"2022-10-20  00:57:27"
S5,869951035739915,3985,1023,587,725,350,15.125,16.125,94,162,"2022-10-20  01:03:12"
S5,869951035739915,3994,1023,589,728,356,15.1875,16.375,94,163,"2022-10-20  01:08:56"
S5,869951035739915,4035,1023,659,543,317,15.375,16.5625,94,163,"2022-10-20  01:14:42"
S5,869951035739915,4016,1023,670,540,307,15.5625,16.6875,94,164,"2022-10-20  01:20:26"
S5,869951035739915,4015,1023,676,561,307,15.6875,16.875,93,164,"2022-10-20  01:26:11"
S5,869951035739915,3967,1023,656,620,324,15.75,17.125,94,165,"2022-10-20  01:32:01"
S5,869951035739915,3984,1023,605,717,339,15.9375,17.3125,94,166,"2022-10-20  01:37:57"
S5,869951035739915,3938,1023,587,770,359,16.0625,17.5,93,167,"2022-10-20  01:44:01"
S5,869951035739915,3976,1023,584,764,357,16.1875,17.6875,93,167,"2022-10-20  01:49:45"
S5,869951035739915,3993,1023,584,784,362,16.3125,17.875,94,168,"2022-10-20  01:55:43"
S5,869951035739915,3971,1023,578,744,356,16.5,18.125,94,168,"2022-10-20  02:01:55"
S5,869951035739915,4012,1023,575,806,388,16.6875,18.25,93,169,"2022-10-20  02:07:51"
S5,869951035739915,4014,1023,569,1006,464,16.8125,18.4375,93,170,"2022-10-20  02:13:36"
S5,869951035739915,3996,1023,569,968,450,16.9375,18.625,93,171,"2022-10-20  02:19:20"
S5,869951035739915,3997,1023,570,959,450,17.0625,18.875,93,170,"2022-10-20  02:25:16"
S5,869951035739915,3985,1023,570,957,441,17.1875,19,92,169,"2022-10-20  02:31:22"
S5,869951035739915,3983,1023,568,999,447,17.375,19.125,93,172,"2022-10-20  02:37:12"
S5,869951035739915,3992,1023,570,969,448,17.4375,19.3125,93,173,"2022-10-20  02:43:08"
S5,869951035739915,4015,1023,579,713,351,17.625,19.4375,93,173,"2022-10-20  02:49:04"
S5,869951035739915,3985,1023,635,583,315,17.75,19.6875,93,174,"2022-10-20  02:54:54"
S5,869951035739915,4018,1023,600,647,330,17.9375,19.875,93,175,"2022-10-20  03:00:45"
S5,869951035739915,4014,1023,609,629,312,18.0625,20,93,174,"2022-10-20  03:06:52"
S5,869951035739915,4016,1023,672,514,292,18.25,20.1875,93,175,"2022-10-20  03:12:36"
S5,869951035739915,3983,1023,683,512,294,18.4375,20.375,92,174,"2022-10-20  03:18:26"
S5,869951035739915,3996,1023,692,511,293,18.5,20.5625,93,177,"2022-10-20  03:24:22"
S5,869951035739915,4029,1023,701,511,290,18.625,20.75,93,177,"2022-10-20  03:30:06"
S5,869951035739915,4022,1023,710,511,291,18.875,20.875,92,177,"2022-10-20  03:35:50"
S5,869951035739915,4006,1023,719,512,293,19,21.125,92,178,"2022-10-20  03:41:47"
S5,869951035739915,3987,1023,728,511,293,19.125,21.1875,93,178,"2022-10-20  03:47:54"
S5,869951035739915,4025,1023,736,511,289,19.3125,21.375,93,179,"2022-10-20  03:53:50"
S5,869951035739915,3981,1019,744,512,290,19.4375,21.5625,92,179,"2022-10-20  03:59:39"
S5,869951035739915,4025,1012,750,513,297,19.5625,21.8125,92,179,"2022-10-20  04:05:24"
S5,869951035739915,3994,1007,755,515,292,19.6875,21.9375,92,179,"2022-10-20  04:11:08"
S5,869951035739915,4027,1004,756,519,296,19.875,22.0625,92,181,"2022-10-20  04:17:16"
S5,869951035739915,4027,1002,757,521,293,20,22.25,93,181,"2022-10-20  04:23:00"
S5,869951035739915,3998,1002,759,523,293,20.125,22.4375,93,181,"2022-10-20  04:29:06"
S5,869951035739915,4024,1001,760,525,292,20.25,22.5625,92,181,"2022-10-20  04:34:51"
S5,869951035739915,4008,999,761,525,292,20.375,22.75,92,182,"2022-10-20  04:40:59"
S5,869951035739915,4023,998,762,525,287,20.5625,22.8125,91,180,"2022-10-20  04:46:55"
S5,869951035739915,3968,996,763,525,285,20.6875,22.9375,92,182,"2022-10-20  04:52:52"
S5,869951035739915,4020,995,764,525,283,20.8125,23,92,183,"2022-10-20  04:58:36"
S5,869951035739915,4016,994,764,525,285,21.125,23.3125,92,184,"2022-10-20  05:10:26"
S5,869951035739915,3970,994,765,526,288,21.25,23.4375,92,184,"2022-10-20  05:16:11"
S5,869951035739915,3994,994,766,526,291,21.3125,23.5,92,184,"2022-10-20  05:22:00"
S5,869951035739915,4022,993,766,527,298,21.4375,23.625,92,185,"2022-10-20  05:27:44"
S5,869951035739915,4031,992,766,527,287,21.5625,23.6875,92,184,"2022-10-20  05:33:29"
S5,869951035739915,4030,992,767,527,287,21.6875,23.8125,92,185,"2022-10-20  05:39:13"
S5,869951035739915,4001,991,768,527,288,21.8125,23.875,92,185,"2022-10-20  05:45:24"
S5,869951035739915,4007,990,767,528,282,21.9375,23.9375,92,185,"2022-10-20  05:51:09"
S5,869951035739915,4002,989,768,528,282,22,24,92,186,"2022-10-20  05:56:58"
S5,869951035739915,3860,1023,637,601,506,22.125,24.0625,92,186,"2022-10-20  06:04:00"
S5,869951035739915,4011,995,764,530,286,22.25,24.1875,92,186,"2022-10-20  06:09:44"
S5,869951035739915,3998,994,764,530,281,22.375,24.1875,92,186,"2022-10-20  06:15:33"
S5,869951035739915,3985,993,765,530,283,22.4375,24.25,91,186,"2022-10-20  06:21:30"
S5,869951035739915,4020,993,764,532,281,22.5625,24.25,92,186,"2022-10-20  06:27:13"
S5,869951035739915,4022,993,764,533,284,22.75,24.3125,91,184,"2022-10-20  06:39:20"
S5,869951035739915,4023,995,762,535,282,22.8125,24.375,92,186,"2022-10-20  06:45:16"
S5,869951035739915,3990,998,759,539,286,22.9375,24.375,90,184,"2022-10-20  06:51:11"
S5,869951035739915,4034,1013,747,554,288,22.9375,24.4375,91,183,"2022-10-20  07:03:23"
S5,869951035739915,4018,1023,665,630,500,23,24.4375,92,185,"2022-10-20  07:06:30"
S5,869951035739915,4072,1022,739,564,286,23.0625,24.4375,92,185,"2022-10-20  07:12:13"
S5,869951035739915,4085,1023,735,568,285,23.125,24.375,92,186,"2022-10-20  07:18:19"
S5,869951035739915,4094,1023,731,569,284,23.125,24.375,91,184,"2022-10-20  07:24:25"
S5,869951035739915,4082,1023,728,571,285,23.1875,24.375,92,186,"2022-10-20  07:30:09"
S5,869951035739915,4068,1023,725,569,288,23.1875,24.3125,92,185,"2022-10-20  07:35:53"
S5,869951035739915,4067,1023,723,568,287,23.25,24.3125,92,186,"2022-10-20  07:41:48"
S5,869951035739915,4075,1023,721,570,285,23.1875,24.3125,92,185,"2022-10-20  07:47:31"
S5,869951035739915,4076,1023,718,575,278,23.3125,24.25,92,185,"2022-10-20  07:53:31"
S5,869951035739915,4091,1023,717,575,281,23.25,24.1875,92,185,"2022-10-20  07:59:37"
S5,869951035739915,4113,1023,715,577,290,23.25,24.125,92,185,"2022-10-20  08:05:21"
S5,869951035739915,4091,1023,711,580,282,23.25,24.0625,90,182,"2022-10-20  08:11:17"
S5,869951035739915,4079,1023,711,579,286,23.25,24,92,184,"2022-10-20  08:17:01"
S5,869951035739915,4100,1023,709,580,286,23.25,23.9375,92,184,"2022-10-20  08:22:51"
S5,869951035739915,4099,1023,706,582,289,23.25,23.875,91,183,"2022-10-20  08:28:34"
S5,869951035739915,4082,1023,704,583,290,23.25,23.8125,92,184,"2022-10-20  08:34:22"
S5,869951035739915,4080,1023,700,586,290,23.1875,23.75,92,183,"2022-10-20  08:40:17"
S5,869951035739915,4091,1023,698,586,288,23.1875,23.6875,92,183,"2022-10-20  08:46:00"
S5,869951035739915,4092,1023,697,587,290,23.1875,23.5625,92,183,"2022-10-20  08:51:55"
S5,869951035739915,4085,1023,693,591,291,23.125,23.5,91,182,"2022-10-20  08:57:38"
S5,869951035739915,4099,1023,688,593,289,23.125,23.4375,92,182,"2022-10-20  09:03:21"
S5,869951035739915,4076,1023,687,593,292,23.0625,23.375,91,179,"2022-10-20  09:09:10"
S5,869951035739915,4102,1023,681,599,285,23.0625,23.25,92,181,"2022-10-20  09:15:05"
S5,869951035739915,4085,1023,674,609,287,23,23.1875,92,181,"2022-10-20  09:20:59"
S5,869951035739915,4100,1023,667,624,291,23,23.0625,92,180,"2022-10-20  09:26:49"
S5,869951035739915,4102,1023,642,670,299,22.9375,23,92,181,"2022-10-20  09:32:44"
S5,869951035739915,4100,1023,622,692,306,22.9375,22.9375,91,178,"2022-10-20  09:38:38"
S5,869951035739915,4103,1023,615,730,319,22.875,22.8125,92,180,"2022-10-20  09:44:21"
S5,869951035739915,4080,1023,583,1009,452,22.8125,22.75,92,180,"2022-10-20  09:50:04"
S5,869951035739915,4081,1023,579,1017,451,22.8125,22.6875,92,180,"2022-10-20  09:55:52"
S5,869951035739915,4088,1023,577,1023,474,22.75,22.5625,92,179,"2022-10-20  10:01:35"
S5,869951035739915,4101,1023,576,1023,481,22.6875,22.5,92,179,"2022-10-20  10:07:26"
S5,869951035739915,4082,1023,575,1006,445,22.6875,22.4375,92,179,"2022-10-20  10:13:16"
S5,869951035739915,4100,1023,575,1016,457,22.625,22.3125,92,179,"2022-10-20  10:19:10"
S5,869951035739915,4085,1023,574,981,436,22.5625,22.25,91,176,"2022-10-20  10:25:10"
S5,869951035739915,4084,1023,574,1013,456,22.5,22.1875,93,178,"2022-10-20  10:30:59"
S5,869951035739915,4102,1023,574,1015,427,22.4375,22.125,92,177,"2022-10-20  10:36:42"
S5,869951035739915,4097,1023,576,865,378,22.375,21.9375,92,177,"2022-10-20  10:48:47"
S5,869951035739915,4097,1023,658,518,278,22.375,21.875,92,176,"2022-10-20  10:54:41"
S5,869951035739915,4103,1023,694,519,277,22.3125,21.8125,92,177,"2022-10-20  11:00:24"
S5,869951035739915,4103,1023,710,539,293,22.3125,21.5625,95,176,"2022-10-20  11:06:07"
S5,869951035739915,4087,1023,720,552,298,22.25,21,95,175,"2022-10-20  11:12:02"
S5,869951035739915,4088,1023,724,572,310,22.1875,20.125,95,171,"2022-10-20  11:17:46"
S5,869951035739915,4103,1023,720,601,325,22.125,18.875,95,166,"2022-10-20  11:23:40"
S5,869951035739915,4104,1023,700,658,339,22,17.875,95,165,"2022-10-20  11:29:45"
S5,869951035739915,4104,1023,671,718,350,21.6875,17.125,96,164,"2022-10-20  11:35:28"
S5,869951035739915,4104,1023,625,801,382,20.125,16.25,96,161,"2022-10-20  11:47:35"
S5,869951035739915,4100,1023,620,822,395,19.0625,16,96,160,"2022-10-20  11:53:29"
S5,869951035739915,4087,1023,618,821,395,17.9375,15.75,96,159,"2022-10-20  11:59:39"
S5,869951035739915,4090,1023,617,817,382,17.0625,15.5625,96,159,"2022-10-20  12:05:22"
S5,869951035739915,4102,1023,589,1023,500,16.5,15.5625,96,159,"2022-10-20  12:11:04"
S5,869951035739915,4099,1023,586,907,459,16.1875,15.5,96,158,"2022-10-20  12:16:47"
S5,869951035739915,4099,1023,586,850,424,15.875,15.375,96,158,"2022-10-20  12:22:35"
S5,869951035739915,4089,1023,584,866,434,15.75,15.3125,96,158,"2022-10-20  12:28:18"
S5,869951035739915,4090,1023,584,863,424,15.5625,15.25,96,157,"2022-10-20  12:34:06"
S5,869951035739915,4108,1023,582,872,414,15.5,15.25,95,155,"2022-10-20  12:39:48"
S5,869951035739915,4107,1023,685,553,338,15.4375,15.1875,96,157,"2022-10-20  12:45:31"
S5,869951035739915,4104,1023,710,550,347,15.375,15.1875,96,157,"2022-10-20  12:51:25"
S5,869951035739915,4107,1023,722,551,333,15.3125,15.125,95,155,"2022-10-20  12:57:07"
S5,869951035739915,4087,1023,727,566,336,15.25,15.0625,97,157,"2022-10-20  13:02:55"
S5,869951035739915,4093,1023,730,562,331,15.25,15.125,96,157,"2022-10-20  13:08:49"
S5,869951035739915,4103,1023,736,562,340,15.1875,15.125,96,157,"2022-10-20  13:14:31"
S5,869951035739915,4127,1023,738,566,339,15.125,15.125,96,157,"2022-10-20  13:20:25"
S5,869951035739915,4100,1023,739,567,344,15.125,15.0625,96,156,"2022-10-20  13:26:35"
S5,869951035739915,4117,1023,739,568,341,15.125,15.0625,97,157,"2022-10-20  13:32:18"
S5,869951035739915,4109,1023,737,571,338,15.125,15.0625,97,157,"2022-10-20  13:38:12"
S5,869951035739915,4076,1023,741,569,349,15.125,15,97,157,"2022-10-20  13:43:55"
S5,869951035739915,4102,1023,742,570,336,15.0625,15,96,157,"2022-10-20  13:49:49"
S5,869951035739915,4105,1023,737,582,338,15.0625,14.9375,95,154,"2022-10-20  13:55:43"
S5,869951035739915,4111,1023,730,596,342,15.0625,15.0625,97,157,"2022-10-20  14:01:37"
S5,869951035739915,4094,1023,726,601,321,15,15,96,157,"2022-10-20  14:07:31"
S5,869951035739915,4106,1023,727,584,335,15.0625,15,95,154,"2022-10-20  14:13:14"
S5,869951035739915,4110,1023,728,585,333,15.0625,15,96,157,"2022-10-20  14:19:08"
S5,869951035739915,4108,1023,729,586,338,15,14.9375,96,157,"2022-10-20  14:24:50"
S5,869951035739915,4116,1023,726,590,344,15,14.9375,96,155,"2022-10-20  14:30:44"
S5,869951035739915,4099,1023,723,589,338,15,14.9375,96,156,"2022-10-20  14:36:38"
S5,869951035739915,4116,1023,722,587,339,15,14.9375,96,156,"2022-10-20  14:42:32"
S5,869951035739915,4099,1023,718,590,338,15,14.875,96,156,"2022-10-20  14:48:21"
S5,869951035739915,4093,1023,712,595,339,14.9375,14.9375,95,156,"2022-10-20  14:54:09"
S5,869951035739915,4096,1023,709,597,345,15,14.875,95,157,"2022-10-20  15:00:03"
S5,869951035739915,4094,1023,709,594,342,14.9375,14.875,95,157,"2022-10-20  15:05:57"
S5,869951035739915,4094,1023,700,590,332,15,14.875,95,156,"2022-10-20  15:11:40"
S5,869951035739915,4106,1023,699,596,346,15,14.875,95,157,"2022-10-20  15:17:34"
S5,869951035739915,4112,1023,696,602,340,15,14.875,93,154,"2022-10-20  15:23:23"
S5,869951035739915,4095,1023,691,609,343,14.9375,14.8125,95,156,"2022-10-20  15:29:17"
S5,869951035739915,4094,1023,677,599,343,14.875,14.8125,93,154,"2022-10-20  15:35:00"
S5,869951035739915,4108,1023,673,596,341,14.9375,14.8125,95,156,"2022-10-20  15:40:54"
S5,869951035739915,4109,1023,683,583,336,14.875,14.8125,95,156,"2022-10-20  15:46:37"
S5,869951035739915,4109,1023,692,580,335,14.9375,14.75,94,156,"2022-10-20  15:52:31"
S5,869951035739915,4108,1023,693,584,337,14.875,14.8125,95,156,"2022-10-20  15:58:13"
S5,869951035739915,4110,1023,686,583,329,14.9375,14.75,94,155,"2022-10-20  16:04:07"
S5,869951035739915,4109,1023,677,590,342,14.9375,14.75,95,156,"2022-10-20  16:09:56"
S5,869951035739915,4101,1023,672,596,334,14.875,14.75,94,155,"2022-10-20  16:15:38"
S5,869951035739915,4108,1023,688,587,333,14.875,14.6875,95,156,"2022-10-20  16:33:17"
S5,869951035739915,4102,1023,688,597,341,14.875,14.6875,93,153,"2022-10-20  16:39:11"
S5,869951035739915,4110,1023,677,610,334,14.875,14.6875,95,156,"2022-10-20  16:45:05"
S5,869951035739915,4092,1023,659,645,339,14.8125,14.6875,95,155,"2022-10-20  16:50:59"
S5,869951035739915,4109,1023,632,668,350,14.8125,14.6875,95,156,"2022-10-20  16:56:54"
S5,869951035739915,4097,1023,611,680,350,14.8125,14.625,95,156,"2022-10-20  17:02:48"
S5,869951035739915,4105,1023,591,673,371,14.8125,14.625,94,155,"2022-10-20  17:08:30"
S5,869951035739915,4088,1023,588,657,353,14.8125,14.625,95,156,"2022-10-20  17:14:24"
S5,869951035739915,4098,1023,608,625,345,14.8125,14.625,95,155,"2022-10-20  17:20:18"
S5,869951035739915,4099,1023,623,622,328,14.8125,14.625,94,155,"2022-10-20  17:26:01"
S5,869951035739915,4091,1023,656,577,334,14.8125,14.5625,94,155,"2022-10-20  17:31:43"
S5,869951035739915,4110,1023,678,557,314,14.8125,14.5625,94,153,"2022-10-20  17:37:37"
S5,869951035739915,4108,1023,690,558,319,14.75,14.5625,95,155,"2022-10-20  17:43:31"
S5,869951035739915,4108,1023,699,558,323,14.75,14.625,95,155,"2022-10-20  17:49:19"
S5,869951035739915,4110,1023,706,555,324,14.75,14.5625,95,155,"2022-10-20  17:55:13"
