id,imei,bat,uCHA,uCHB,lCHA,lCHB,uT,lT,smtVWC,smtT,date_created_utc
C3,869951035740095,4012,745,1023,880,764,13.75,13.8125,101,153,"2022-10-20  00:01:18"
C3,869951035740095,3964,798,1023,929,719,13.8125,13.875,100,151,"2022-10-20  00:02:54"
C3,869951035740095,3998,849,922,1023,584,13.875,13.9375,101,153,"2022-10-20  00:08:54"
C3,869951035740095,3915,795,1023,742,834,14.25,14.375,100,154,"2022-10-20  00:31:02"
C3,869951035740095,4004,860,918,1005,580,14.3125,14.5,101,155,"2022-10-20  00:37:03"
C3,869951035740095,4052,855,917,1005,578,14.4375,14.625,100,155,"2022-10-20  00:42:52"
C3,869951035740095,4024,744,1023,739,816,14.625,14.8125,102,155,"2022-10-20  00:52:10"
C3,869951035740095,4001,800,1023,734,816,14.75,15.0625,100,156,"2022-10-20  01:00:21"
C3,869951035740095,4053,860,921,988,576,14.875,15.1875,100,156,"2022-10-20  01:06:29"
C3,869951035740095,4039,858,919,988,575,15.125,15.3125,100,158,"2022-10-20  01:12:31"
C3,869951035740095,4052,858,921,995,575,15.1875,15.5,101,158,"2022-10-20  01:18:42"
C3,869951035740095,3987,857,920,993,575,15.375,15.6875,101,160,"2022-10-20  01:24:54"
C3,869951035740095,4049,859,923,999,575,15.5625,15.875,101,160,"2022-10-20  01:30:44"
C3,869951035740095,4015,859,921,992,576,15.75,16.125,100,159,"2022-10-20  01:36:34"
C3,869951035740095,4048,859,921,990,575,15.875,16.25,100,159,"2022-10-20  01:42:24"
C3,869951035740095,4018,860,920,988,575,16.0625,16.5,101,162,"2022-10-20  01:48:19"
C3,869951035740095,4009,860,921,988,575,16.1875,16.6875,101,162,"2022-10-20  01:54:25"
C3,869951035740095,4013,860,920,985,575,16.3125,16.875,101,163,"2022-10-20  02:00:41"
C3,869951035740095,4065,862,922,981,575,16.5,17.125,100,164,"2022-10-20  02:06:31"
C3,869951035740095,4054,862,922,980,575,16.6875,17.3125,101,165,"2022-10-20  02:12:33"
C3,869951035740095,4049,862,923,978,576,16.875,17.5,100,164,"2022-10-20  02:18:23"
C3,869951035740095,4065,864,924,975,575,17,17.6875,101,165,"2022-10-20  02:24:13"
C3,869951035740095,4065,862,921,969,574,17.1875,17.875,100,165,"2022-10-20  02:30:15"
C3,869951035740095,4065,863,922,969,574,17.3125,18.125,99,164,"2022-10-20  02:36:05"
