id,imei,bat,uCHA,uCHB,lCHA,lCHB,uT,lT,smtVWC,smtT,date_created_utc
S1,869951035740301,4098,861,848,602,373,13.875,13.625,64,154,"2022-10-19  23:53:53"
S1,869951035740301,4103,864,851,604,392,14,13.6875,64,154,"2022-10-19  23:59:53"
S1,869951035740301,4095,862,849,602,372,14.125,13.8125,64,155,"2022-10-20  00:05:35"
S1,869951035740301,4088,864,849,605,374,14.375,13.9375,64,155,"2022-10-20  00:17:03"
S1,869951035740301,4107,865,850,606,391,14.5,14.0625,62,154,"2022-10-20  00:22:41"
S1,869951035740301,4124,867,853,611,389,14.625,14.1875,63,156,"2022-10-20  00:28:18"
S1,869951035740301,4124,867,853,611,389,14.625,14.1875,63,156,"2022-10-20  00:28:20"
S1,869951035740301,4091,866,851,607,371,14.8125,14.3125,63,157,"2022-10-20  00:34:05"
S1,869951035740301,4122,866,853,607,370,15.125,14.5625,62,156,"2022-10-20  00:45:46"
S1,869951035740301,4088,866,852,607,354,15.3125,14.75,63,159,"2022-10-20  00:51:36"
S1,869951035740301,4119,869,854,612,372,15.5625,14.9375,62,160,"2022-10-20  00:57:38"
S1,869951035740301,4114,883,881,716,649,15.6875,15.125,62,160,"2022-10-20  01:01:50"
S1,869951035740301,4096,872,857,613,385,15.9375,15.125,62,162,"2022-10-20  01:07:29"
S1,869951035740301,4091,871,856,609,371,16.125,15.3125,62,162,"2022-10-20  01:13:12"
S1,869951035740301,4120,870,857,608,367,16.375,15.5,61,161,"2022-10-20  01:19:03"
S1,869951035740301,4124,871,857,612,367,16.625,15.6875,61,161,"2022-10-20  01:24:41"
S1,869951035740301,4095,874,860,612,385,17.0625,16.0625,62,165,"2022-10-20  01:36:23"
S1,869951035740301,4123,874,859,611,369,17.3125,16.25,62,166,"2022-10-20  01:42:24"
S1,869951035740301,4080,876,861,614,383,17.5625,16.375,62,167,"2022-10-20  01:48:09"
S1,869951035740301,4092,875,860,611,369,17.75,16.5625,61,168,"2022-10-20  01:54:01"
S1,869951035740301,4092,875,860,608,350,18,16.75,61,167,"2022-10-20  01:59:59"
S1,869951035740301,4118,876,861,611,357,18.25,16.9375,61,168,"2022-10-20  02:05:38"
S1,869951035740301,4117,878,863,617,372,18.5,17.125,61,169,"2022-10-20  02:11:17"
S1,869951035740301,4089,876,861,614,349,18.6875,17.3125,61,170,"2022-10-20  02:17:01"
S1,869951035740301,4089,878,862,619,365,18.9375,17.5,60,171,"2022-10-20  02:22:41"
S1,869951035740301,4123,878,862,617,360,19.125,17.6875,61,171,"2022-10-20  02:28:21"
S1,869951035740301,4106,880,864,623,380,19.3125,17.875,60,172,"2022-10-20  02:34:13"
S1,869951035740301,4089,880,864,623,366,19.5625,18.0625,60,172,"2022-10-20  02:39:58"
S1,869951035740301,4109,881,865,627,366,20,18.4375,60,174,"2022-10-20  02:52:02"
S1,869951035740301,4125,880,865,624,353,20.1875,18.625,60,175,"2022-10-20  02:57:48"
S1,869951035740301,4092,881,866,627,363,20.375,18.8125,60,176,"2022-10-20  03:03:40"
S1,869951035740301,4123,884,868,632,376,20.5625,19,60,176,"2022-10-20  03:09:31"
S1,869951035740301,4084,884,868,634,384,20.75,19.1875,59,174,"2022-10-20  03:15:36"
S1,869951035740301,4100,884,868,634,377,21,19.375,59,177,"2022-10-20  03:21:27"
S1,869951035740301,4089,884,867,634,362,21.1875,19.5625,59,178,"2022-10-20  03:27:20"
S1,869951035740301,4123,884,868,640,363,21.375,19.75,60,178,"2022-10-20  03:33:12"
S1,869951035740301,4118,883,867,640,352,21.5625,20,58,176,"2022-10-20  03:39:05"
S1,869951035740301,4088,886,870,648,378,21.6875,20.1875,59,179,"2022-10-20  03:44:46"
S1,869951035740301,4121,884,867,642,351,21.9375,20.375,59,180,"2022-10-20  03:50:39"
S1,869951035740301,4123,886,870,649,364,22.125,20.5625,59,180,"2022-10-20  03:56:20"
S1,869951035740301,4090,887,870,651,364,22.25,20.8125,59,181,"2022-10-20  04:02:12"
S1,869951035740301,4124,886,870,652,362,22.4375,20.9375,59,182,"2022-10-20  04:08:04"
S1,869951035740301,4083,888,872,657,380,22.5625,21.125,59,182,"2022-10-20  04:13:51"
S1,869951035740301,4086,887,871,656,366,22.75,21.3125,59,182,"2022-10-20  04:19:43"
S1,869951035740301,4085,888,870,656,363,22.875,21.5,59,183,"2022-10-20  04:25:46"
S1,869951035740301,4123,889,872,660,378,23.0625,21.6875,59,183,"2022-10-20  04:31:39"
S1,869951035740301,4122,887,870,654,349,23.1875,21.875,59,183,"2022-10-20  04:37:32"
S1,869951035740301,4120,890,873,664,377,23.375,22.0625,59,184,"2022-10-20  04:43:24"
S1,869951035740301,4122,889,873,665,371,23.4375,22.25,58,182,"2022-10-20  04:49:04"
S1,869951035740301,4105,900,899,752,672,23.4375,22.3125,58,183,"2022-10-20  04:50:22"
S1,869951035740301,4115,890,871,659,351,23.625,22.4375,58,182,"2022-10-20  04:56:03"
S1,869951035740301,4085,890,873,656,374,23.75,22.5625,57,182,"2022-10-20  05:01:54"
S1,869951035740301,4119,896,900,725,679,23.75,22.625,59,185,"2022-10-20  05:05:13"
S1,869951035740301,4119,896,900,725,679,23.75,22.625,59,185,"2022-10-20  05:05:17"
S1,869951035740301,4117,876,870,620,542,15.5,15.25,63,157,"2022-10-20  23:33:30"
S1,869951035740301,4124,861,883,889,829,17.4375,16.75,62,165,"2022-10-21  00:52:25"
S1,869951035740301,4120,871,841,1023,580,17.625,16.875,61,163,"2022-10-21  00:57:59"
S1,869951035740301,4084,872,843,1023,552,17.75,16.9375,62,165,"2022-10-21  01:03:40"
S1,869951035740301,4106,874,844,1023,570,17.9375,17.0625,62,166,"2022-10-21  01:09:14"
S1,869951035740301,4111,874,844,1023,567,18.0625,17.25,62,165,"2022-10-21  01:14:48"
S1,869951035740301,4086,874,844,1023,568,18.1875,17.3125,62,167,"2022-10-21  01:20:27"
S1,869951035740301,4121,875,845,1023,567,18.375,17.4375,62,168,"2022-10-21  01:25:55"
S1,869951035740301,4106,884,876,1023,699,18.4375,17.5625,61,166,"2022-10-21  01:29:06"
S1,869951035740301,4072,874,844,1023,538,18.5625,17.625,61,168,"2022-10-21  01:34:33"
S1,869951035740301,4084,876,846,1023,553,18.75,17.75,61,169,"2022-10-21  01:40:36"
S1,869951035740301,4121,878,849,1023,553,18.875,17.9375,62,169,"2022-10-21  01:46:21"
S1,869951035740301,4120,877,847,1023,559,19,18,61,169,"2022-10-21  01:51:44"
S1,869951035740301,4122,876,847,1023,563,19.125,18.125,61,170,"2022-10-21  01:57:06"
S1,869951035740301,4117,880,850,1023,555,19.25,18.25,61,170,"2022-10-21  02:02:39"
S1,869951035740301,4113,878,848,1023,551,19.375,18.3125,61,170,"2022-10-21  02:08:13"
S1,869951035740301,4089,880,849,1023,559,19.5,18.5,61,170,"2022-10-21  02:13:40"
S1,869951035740301,4125,875,843,1023,548,19.9375,18.5625,72,172,"2022-10-21  02:19:03"
S1,869951035740301,4115,887,853,1023,558,20.4375,18.5625,77,173,"2022-10-21  02:24:37"
S1,869951035740301,4108,895,860,1023,572,21.0625,18.6875,77,176,"2022-10-21  02:29:59"
S1,869951035740301,4118,899,862,1023,575,21.4375,18.8125,77,176,"2022-10-21  02:35:44"
S1,869951035740301,4103,903,867,1023,579,21.625,18.875,78,176,"2022-10-21  02:41:18"
S1,869951035740301,4122,904,866,1023,558,21.6875,19.0625,78,177,"2022-10-21  02:46:39"
S1,869951035740301,4125,905,871,1023,503,21.6875,19.25,77,176,"2022-10-21  02:52:15"
S1,869951035740301,4115,910,872,947,578,21.75,19.5,77,177,"2022-10-21  02:57:59"
S1,869951035740301,4117,910,873,1023,557,21.8125,19.75,77,177,"2022-10-21  03:03:22"
S1,869951035740301,4093,911,874,1023,571,21.8125,20,77,177,"2022-10-21  03:08:55"
S1,869951035740301,4087,912,875,1023,583,21.875,20.1875,77,177,"2022-10-21  03:14:18"
S1,869951035740301,4123,912,876,1023,554,21.9375,20.4375,77,176,"2022-10-21  03:19:53"
S1,869951035740301,4101,910,874,1023,553,21.9375,20.625,76,177,"2022-10-21  03:25:27"
