date_created_utc,C1_id,C1_legacy,C1_battery_mv,C1_upper_chameleon_ohms,C1_lower_chameleon_ohms,C1_upper_temperature_celcius,C1_lower_temperature_celcius,C1_smt_vwc_raw,C1_smt_temperature_raw,C1_upper_chameleon_centibar,C1_lower_chameleon_centibar,C1_smt_vwc_percentage,C1_smt_temperature_celcius,C1_upper_chameleon_raw_channel_a,C1_upper_chameleon_raw_channel_b,C1_lower_chameleon_raw_channel_a,C1_lower_chameleon_raw_channel_b,C2_id,C2_legacy,C2_battery_mv,C2_upper_chameleon_ohms,C2_lower_chameleon_ohms,C2_upper_temperature_celcius,C2_lower_temperature_celcius,C2_smt_vwc_raw,C2_smt_temperature_raw,C2_upper_chameleon_centibar,C2_lower_chameleon_centibar,C2_smt_vwc_percentage,C2_smt_temperature_celcius,C2_upper_chameleon_raw_channel_a,C2_upper_chameleon_raw_channel_b,C2_lower_chameleon_raw_channel_a,C2_lower_chameleon_raw_channel_b,C3_id,C3_legacy,C3_battery_mv,C3_upper_chameleon_ohms,C3_lower_chameleon_ohms,C3_upper_temperature_celcius,C3_lower_temperature_celcius,C3_smt_vwc_raw,C3_smt_temperature_raw,C3_upper_chameleon_centibar,C3_lower_chameleon_centibar,C3_smt_vwc_percentage,C3_smt_temperature_celcius,C3_upper_chameleon_raw_channel_a,C3_upper_chameleon_raw_channel_b,C3_lower_chameleon_raw_channel_a,C3_lower_chameleon_raw_channel_b,C4_id,C4_legacy,C4_battery_mv,C4_upper_chameleon_ohms,C4_lower_chameleon_ohms,C4_upper_temperature_celcius,C4_lower_temperature_celcius,C4_smt_vwc_raw,C4_smt_temperature_raw,C4_upper_chameleon_centibar,C4_lower_chameleon_centibar,C4_smt_vwc_percentage,C4_smt_temperature_celcius,C4_upper_chameleon_raw_channel_a,C4_upper_chameleon_raw_channel_b,C4_lower_chameleon_raw_channel_a,C4_lower_chameleon_raw_channel_b,C5_id,C5_legacy,C5_battery_mv,C5_upper_chameleon_ohms,C5_lower_chameleon_ohms,C5_upper_temperature_celcius,C5_lower_temperature_celcius,C5_smt_vwc_raw,C5_smt_temperature_raw,C5_upper_chameleon_centibar,C5_lower_chameleon_centibar,C5_smt_vwc_percentage,C5_smt_temperature_celcius,C5_upper_chameleon_raw_channel_a,C5_upper_chameleon_raw_channel_b,C5_lower_chameleon_raw_channel_a,C5_lower_chameleon_raw_channel_b,group_C_median_smt_vwc_percentage,group_C_mean_smt_vwc_percentage,group_C_stddev_smt_vwc_percentage
2022-10-12 13:17:00+11:00,C1,True,4151.0,10708.5,0.0,-127.0,-127.0,362.0,392.0,50.21379221815923,0.0,116.77419354838707,86.4516129032258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.77419354838707,116.77419354838707,
2022-10-12 13:20:34+11:00,C1,True,4079.0,8874.538,0.0,-127.0,-127.0,446.0,461.0,47.46348854790374,0.0,143.8709677419355,108.70967741935485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.8709677419355,143.8709677419355,
2022-10-12 13:31:47+11:00,C1,True,4062.0,11719.75,0.0,-127.0,-127.0,456.0,618.0,50.62824411985118,0.0,147.09677419354838,159.3548387096774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.09677419354838,147.09677419354838,
2022-10-12 13:43:01+11:00,C1,True,4066.0,11673.73,0.0,-127.0,-127.0,463.0,622.0,50.626397511863296,0.0,149.3548387096774,160.64516129032256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.3548387096774,149.3548387096774,
2022-10-12 13:54:13+11:00,C1,True,4076.0,11765.96,0.0,-127.0,-127.0,448.0,612.0,50.62846588479836,0.0,144.51612903225805,157.4193548387097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.51612903225805,144.51612903225805,
2022-10-12 14:05:48+11:00,C1,True,4074.0,11765.96,0.0,-127.0,-127.0,447.0,612.0,50.62846588479836,0.0,144.19354838709677,157.4193548387097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.19354838709677,144.19354838709677,
2022-10-12 14:28:25+11:00,C1,True,4061.0,11765.96,0.0,-127.0,-127.0,447.0,613.0,50.62846588479836,0.0,144.19354838709677,157.74193548387098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.19354838709677,144.19354838709677,
2022-10-12 14:39:38+11:00,C1,True,4068.0,11858.97,0.0,-127.0,-127.0,439.0,608.0,50.62395240790168,0.0,141.61290322580643,156.1290322580645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.61290322580643,141.61290322580643,
2022-10-12 14:51:03+11:00,C1,True,4070.0,11858.97,0.0,-127.0,-127.0,436.0,606.0,50.62395240790168,0.0,140.6451612903226,155.48387096774192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.6451612903226,140.6451612903226,
2022-10-12 15:02:16+11:00,C1,True,4070.0,11905.78,0.0,-127.0,-127.0,433.0,605.0,50.6191739274079,0.0,139.67741935483872,155.16129032258064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.67741935483872,139.67741935483872,
